,Ctry,ROG3,GCode
0,India,2510,IND
1,Papua New Guinea,885,PNG
2,Indonesia,779,IDN
3,Nigeria,544,NGA
4,China,544,CHN
5,United States,488,USA
6,Pakistan,394,PAK
7,Mexico,330,MEX
8,Bangladesh,326,BGD
9,Brazil,310,BRA
10,Cameroon,292,CMR
11,Canada,273,CAN
12,Nepal,268,NPL
13,"Congo, Democratic Republic of",229,COG
14,Philippines,200,PHL
15,Malaysia,186,MYS
16,Australia,183,AUS
17,Russia,176,RUS
18,Sudan,163,SDN
19,Tanzania,156,TZA
20,Myanmar (Burma),146,MMR
21,Chad,141,TCD
22,Laos,134,LAO
23,Vietnam,118,VNM
24,France,116,FRA
25,Thailand,113,THA
26,Ethiopia,113,ETH
27,Ghana,112,GHA
28,Colombia,111,COL
29,Vanuatu,111,VUT
30,Kenya,111,KEN
31,C̫te d'Ivoire,108,CIV
32,Spain,106,ESP
33,United Kingdom,106,GBR
34,Italy,105,ITA
35,Peru,104,PER
36,Netherlands,101,NLD
37,Iran,97,IRN
38,Germany,92,DEU
39,Belgium,92,BEL
40,Sweden,88,SWE
41,New Zealand,88,NZL
42,Denmark,85,DNK
43,Argentina,84,ARG
44,Central African Republic,83,CAF
45,Burkina Faso,81,BFA
46,South Sudan,78,SSD
47,Ukraine,78,UKR
48,Afghanistan,77,AFG
49,Bhutan,77,BTN
50,Zambia,74,ZMB
51,Solomon Islands,74,SLB
52,Mali,74,MLI
53,"Congo, Republic of the",71,COG
54,Turkey,67,TUR
55,Uganda,67,UGA
56,Venezuela,66,VEN
57,Kazakhstan,66,KAZ
58,Benin,65,BEN
59,South Africa,65,ZAF
60,Mozambique,62,MOZ
61,Uzbekistan,61,UZB
62,Guatemala,60,GTM
63,Angola,59,AGO
64,Finland,58,FIN
65,Togo,58,TGO
66,Senegal,56,SEN
67,Norway,54,NOR
68,Gabon,51,GAB
69,Israel,50,ISR
70,Greece,50,GRC
71,Singapore,49,SGP
72,Botswana,47,BWA
73,Bolivia,47,BOL
74,Guinea,47,GIN
75,Ireland,44,IRL
76,New Caledonia,44,NCL
77,Austria,43,AUT
78,Zimbabwe,43,ZWE
79,Tajikistan,43,TJK
80,Saudi Arabia,43,SAU
81,Portugal,42,PRT
82,Egypt,42,EGY
83,Libya,42,LBY
84,Cambodia,42,KHM
85,Paraguay,41,PRY
86,Sri Lanka,41,LKA
87,Kyrgyzstan,41,KGZ
88,Azerbaijan,40,AZE
89,Algeria,40,DZA
90,Switzerland,40,CHE
91,Madagascar,40,MDG
92,Georgia,39,GEO
93,Liberia,39,LBR
94,Turkmenistan,39,TKM
95,Czech Republic,38,CZE
96,Syria,38,SYR
97,Serbia,36,SRB
98,Iraq,36,IRQ
99,Niger,36,NER
100,Japan,36,JPN
101,Uruguay,35,URY
102,Taiwan,35,TWN
103,Guinea-Bissau,35,GNB
104,Oman,34,OMN
105,United Arab Emirates,34,ARE
106,Ecuador,33,ECU
107,Fiji,33,FJI
108,Romania,32,ROU
109,Namibia,32,NAM
110,Poland,32,POL
111,Bulgaria,31,BGR
112,Morocco,31,MAR
113,Sierra Leone,30,SLE
114,Panama,30,PAN
115,Cyprus,30,CYP
116,Gambia,30,GMB
117,Yemen,29,YEM
118,Mongolia,29,MNG
119,Chile,28,CHL
120,Kuwait,28,KWT
121,Belarus,26,BLR
122,Lebanon,26,LBN
123,Malawi,26,MWI
124,"Micronesia, Federated States",25,FSM
125,Hungary,25,HUN
126,Moldova,25,MDA
127,Brunei,24,BRN
128,Qatar,24,QAT
129,Suriname,24,SUR
130,"China, Hong Kong",24,HKG
131,Croatia,24,HRV
132,French Guiana,23,GUF
133,Macedonia,23,MKD
134,East Timor,23,TLS
135,Somalia,22,SOM
136,Jordan,22,JOR
137,Honduras,22,HND
138,Latvia,21,LVA
139,Guyana,21,GUY
140,Costa Rica,21,CRI
141,Lithuania,21,LTU
142,Slovakia,20,SVK
143,West Bank / Gaza,20,
144,Luxembourg,20,LUX
145,Reunion,19,REU
146,Mauritania,19,MRT
147,Equatorial Guinea,19,GNQ
148,Mauritius,18,MUS
149,Estonia,18,EST
150,Eritrea,18,ERI
151,Nicaragua,18,NIC
152,Armenia,18,ARM
153,Cuba,17,CUB
154,Albania,17,ALB
155,Montenegro,17,MNE
156,Bahrain,16,BHR
157,Curacao,16,CUW
158,Slovenia,16,SVN
159,Guam,15,GUM
160,Dominican Republic,15,DOM
161,Puerto Rico,15,PRI
162,Trinidad and Tobago,15,TTO
163,Monaco,14,MCO
164,Tunisia,14,TUN
165,Belize,13,BLZ
166,"China, Macau",13,MAC
167,Bosnia-Herzegovina,13,BIH
168,French Polynesia,13,PYF
169,El Salvador,12,SLV
170,Rwanda,12,RWA
171,Iceland,12,ISL
172,Burundi,12,BDI
173,"Korea, South",12,KOR
174,Swaziland,11,SWZ
175,Comoros,11,COM
176,Kosovo,11,
177,Northern Mariana Islands,11,MNP
178,Djibouti,11,DJI
179,Lesotho,11,LSO
180,Cayman Islands,10,CYM
181,Malta,10,MLT
182,Andorra,10,AND
183,Western Sahara,10,ESH
184,Bahamas,9,BHS
185,American Samoa,9,ASM
186,Aruba,9,ABW
187,Sint Maarten,9,MAF
188,Jamaica,9,JAM
189,Guadeloupe,8,GLP
190,Mayotte,8,MYT
191,Liechtenstein,8,LIE
192,St Vincent and Grenadines,8,VCT
193,Virgin Islands (U.S.),7,VIR
194,Nauru,7,NRU
195,Cook Islands,7,COK
196,Bermuda,7,BMU
197,Martinique,7,MTQ
198,Dominica,7,DMA
